,INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
8456,1981-053NW,39960,DEBRIS,COSMOS 1275 DEB,CIS,1981-06-04,PKMTR,,106.97,83.15,1266,906,,,0,SMALL,9059,1981,53,NW,Y,COSMOS 1275 DEB,1981-053NW,39960
8457,2014-033B,40011,PAYLOAD,HODOYOSHI 4,JPN,2014-06-19,OREN,,96.89,97.56,628,592,,,0,MEDIUM,9059,2014,33,B,Y,HODOYOSHI 4,2014-033B,40011
8458,2014-033C,40012,PAYLOAD,UNISAT 6,IT,2014-06-19,OREN,,97.03,97.73,651,582,,,0,MEDIUM,9059,2014,33,C,Y,UNISAT 6,2014-033C,40012
8459,2014-033D,40013,PAYLOAD,DEIMOS 2,SPN,2014-06-19,OREN,,96.55,97.65,595,592,,,0,LARGE,9059,2014,33,D,Y,DEIMOS 2,2014-033D,40013
8460,2014-033E,40014,PAYLOAD,BUGSAT 1,ARGN,2014-06-19,OREN,,95.41,98.09,560,517,,,0,MEDIUM,9059,2014,33,E,Y,BUGSAT 1,2014-033E,40014
8461,2014-033F,40015,PAYLOAD,HODOYOSHI 3,JPN,2014-06-19,OREN,,97.07,97.60,643,594,,,0,MEDIUM,9059,2014,33,F,Y,HODOYOSHI 3,2014-033F,40015
8462,2014-033AF,40039,PAYLOAD,PERSEUS M1,CIS,2014-06-19,OREN,,96.45,97.92,598,579,,,0,MEDIUM,9059,2014,33,AF,Y,PERSEUS M1,2014-033AF,40039
8463,2014-033AP,40047,ROCKET BODY,SL-24 R/B,CIS,2014-06-19,OREN,,105.74,97.90,1451,608,,,0,LARGE,9059,2014,33,AP,Y,SL-24 R/B,2014-033AP,40047
8464,2014-034A,40053,PAYLOAD,SPOT 7,AZER,2014-06-30,SRI,,98.61,98.12,693,692,,,0,LARGE,9059,2014,34,A,Y,SPOT 7,2014-034A,40053
8465,2014-034F,40058,ROCKET BODY,PSLV R/B,IND,2014-06-30,SRI,,97.10,98.33,635,605,,,0,LARGE,9059,2014,34,F,Y,PSLV R/B,2014-034F,40058
8466,2014-036A,40061,PAYLOAD,GONETS M 08 (M18),CIS,2014-07-03,PKMTR,,115.85,82.51,1518,1470,,,0,LARGE,9059,2014,36,A,Y,GONETS M 08 (M18),2014-036A,40061
8467,2014-036B,40062,PAYLOAD,GONETS M 09 (M19),CIS,2014-07-03,PKMTR,,115.86,82.51,1513,1476,,,0,LARGE,9059,2014,36,B,Y,GONETS M 09 (M19),2014-036B,40062
8468,2014-036C,40063,PAYLOAD,GONETS M 10 (M20),CIS,2014-07-03,PKMTR,,115.86,82.51,1512,1477,,,0,LARGE,9059,2014,36,C,Y,GONETS M 10 (M20),2014-036C,40063
8469,2014-037D,40072,PAYLOAD,SKYSAT 2,US,2014-07-08,TTMTR,,96.90,98.34,615,606,,,0,MEDIUM,9059,2014,37,D,Y,SKYSAT 2,2014-037D,40072
8470,2014-047B,40110,PAYLOAD,YAOGAN 20B,PRC,2014-08-09,JSC,,107.03,63.38,1350,829,,,0,LARGE,9059,2014,47,B,Y,YAOGAN 20B,2014-047B,40110
8471,2014-048A,40115,PAYLOAD,WORLDVIEW 3,US,2014-08-13,AFWTR,,96.98,97.87,619,610,,,0,LARGE,9059,2014,48,A,Y,WORLDVIEW 3,2014-048A,40115
8472,2014-051B,40137,PAYLOAD,CHUANG XIN 1-04,PRC,2014-09-04,JSC,,100.68,98.69,808,774,,,0,MEDIUM,9059,2014,51,B,Y,CHUANG XIN 1-04,2014-051B,40137
8473,1993-036BVN,40233,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.98,73.94,744,675,,,0,SMALL,9059,1993,36,BVN,Y,COSMOS 2251 DEB,1993-036BVN,40233
8474,2014-063A,40275,PAYLOAD,YAOGAN 22,PRC,2014-10-20,TSC,,109.46,100.70,1207,1197,,,0,LARGE,9059,2014,63,A,Y,YAOGAN 22,2014-063A,40275
