,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
25427,1988-071A,GORIZONT 16,19397,CIS,1440.27,12.12,35920.0,35817.0,LARGE,0,1988-08-18,
25428,1963-054E,TIROS 8 DEB,19396,US,95.53,58.47,561.0,528.0,SMALL,0,1963-12-21,
25429,1970-025PZ,THORAD AGENA D DEB,19391,US,102.93,98.77,1003.0,792.0,SMALL,0,1970-04-08,
25430,1971-015DS,COSMOS 397 DEB *,19367,CIS,104.19,65.71,1088.0,825.0,SMALL,0,1971-02-25,
25431,1975-004HQ,DELTA 1 DEB,19365,US,100.51,97.65,879.0,687.0,SMALL,0,1975-01-22,
25432,1970-025PY,THORAD AGENA D DEB,19363,US,105.72,99.97,1033.0,1024.0,SMALL,0,1970-04-08,
25433,1968-091DJ,COSMOS 249 DEB,19362,CIS,101.67,62.78,1168.0,507.0,SMALL,0,1968-10-20,
25434,1973-086HE,DELTA 1 DEB,19360,US,114.6,101.88,1470.0,1405.0,SMALL,0,1973-11-06,
25435,1978-026HM,DELTA 1 DEB,19359,US,99.16,98.59,731.0,706.0,SMALL,0,1978-03-05,
25436,1965-027AT,OPS 4682 DEB,19355,US,110.94,90.24,1300.0,1240.0,SMALL,0,1965-04-03,
25437,1970-025PW,THORAD AGENA D DEB,19351,US,104.94,100.13,1012.0,971.0,SMALL,0,1970-04-08,
25438,1988-066D,SL-12 R/B(2),19347,CIS,1459.61,12.74,36387.0,36104.0,LARGE,0,1988-08-01,
25439,1988-066A,COSMOS 1961,19344,CIS,1436.12,12.06,35801.0,35773.0,LARGE,0,1988-08-01,
25440,1988-064B,SL-14 R/B,19337,CIS,109.32,82.55,1207.0,1184.0,LARGE,0,1988-07-26,
25441,1988-064A,METEOR 3-2,19336,CIS,109.32,82.54,1207.0,1183.0,LARGE,0,1988-07-26,
25442,1988-063B,EUTE 1-F5 (ECS 5),19331,EUTE,1466.94,14.8,36429.0,36347.0,LARGE,0,1988-07-21,
25443,1988-063A,INSAT 1C,19330,IND,1435.58,11.95,35800.0,35753.0,LARGE,0,1988-07-21,
25444,1988-062B,SL-8 R/B,19325,CIS,104.51,82.95,995.0,948.0,LARGE,0,1988-07-18,
25445,1988-062A,COSMOS 1959,19324,CIS,104.63,82.95,1002.0,952.0,LARGE,0,1988-07-18,
25446,1968-091DH,COSMOS 249 DEB,19317,CIS,107.31,62.84,1675.0,530.0,SMALL,0,1968-10-20,
25447,1976-077FK,DELTA 1 DEB,19316,US,119.63,102.09,1834.0,1495.0,SMALL,0,1976-07-29,
