international_designator,norad_catalog_number,satellite_name,source,launch_date,launch_site,object_type,last_data
1980-085F,26679.0,COSMOS 1217 DEB,CIS,1980-10-24,PLMSC,DEB,2007-12-07T18:24:02.603520
1977-068H,26760.0,COSMOS 931 DEB,CIS,1977-07-20,PLMSC,DEB,2021-09-19T22:15:28.483200
1965-108AS,26763.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2023-10-18T09:34:25.270176
1965-108AT,26764.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2018-11-17T21:18:10.875168
1965-108AU,26765.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2024-12-02T06:37:36.761088
1965-108AX,26779.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2025-02-04T06:38:03.640992
1965-108BB,26783.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2021-11-27T09:58:19.899840
1984-035C,26785.0,CZ-3 DEB,PRC,1984-04-08,XICLF,DEB,2025-01-22T01:57:20.812032
1986-010E,26788.0,CZ-3 DEB,PRC,1986-02-01,XICLF,DEB,2018-11-22T01:50:41.441856
1992-021Q,26790.0,ARIANE 44L+ DEB,FR,1992-04-15,FRGUI,DEB,2024-10-21T08:30:52.536672
1985-118Z,26802.0,SL-12 DEB,CIS,1985-12-24,TYMSC,DEB,2003-02-17T17:48:13.147776
1985-118AA,26803.0,SL-12 DEB,CIS,1985-12-24,TYMSC,DEB,2021-03-20T05:19:57.943488
1985-118AB,26804.0,SL-12 DEB,CIS,1985-12-24,TYMSC,DEB,2003-08-27T11:49:30.495648
1988-063J,26809.0,ARIANE 3 DEB,FR,1988-07-21,FRGUI,DEB,2024-10-10T20:40:25.860288
1989-001P,26813.0,SL-12 DEB,CIS,1989-01-10,TYMSC,DEB,2023-10-03T23:39:10.777824
1966-076H,26817.0,TRANSIT 14 DEB,US,1966-08-18,AFWTR,DEB,2023-11-22T18:00:06.787584
1985-118AC,26849.0,SL-12 DEB,CIS,1985-12-24,TYMSC,DEB,2024-09-29T13:47:51.921600
1980-050H,26917.0,COSMOS 1188 DEB,CIS,1980-06-14,PLMSC,DEB,2018-11-13T08:06:11.057472
1980-085G,26918.0,COSMOS 1217 DEB,CIS,1980-10-24,PLMSC,DEB,2020-05-19T12:52:41.779488
1980-085H,26919.0,COSMOS 1217 DEB,CIS,1980-10-24,PLMSC,DEB,2023-04-13T20:45:11.268000
1984-023J,26924.0,ARIANE 1 DEB,FR,1984-03-05,FRGUI,DEB,2023-10-24T00:06:51.971616
1978-066E,26974.0,COSMOS 1024 DEB,CIS,1978-06-28,PLMSC,DEB,2007-08-20T01:38:22.928352
